19:33:7 | (7ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
19:33:8 | (4ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
19:33:8 | (5ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
19:33:8 | (3ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
19:33:8 | (4ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
19:33:8 | (0ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
19:33:8 | (1ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
19:33:8 | (0ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
19:33:32 | (3ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'O%' limit 3;
19:33:34 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
19:33:38 | (2ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'F%' limit 3;
19:33:38 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'Fa%' limit 3;
19:33:39 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
19:33:50 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'O%' limit 3;
19:33:50 | (2ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
19:33:54 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'S%' limit 3;
19:33:54 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'Su%' limit 3;
19:33:55 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
19:33:59 | (1ms) 10.0.0.144 - [rechercheRecette] - select count(nom) from ingredients;
19:33:59 | (5ms) 10.0.0.144 - [rechercheRecette] - select * from recettes where (code like '%[1]/%' or code like '%[3]/%' or code like '%[5]/%' ) and ( code not like '%[2]/%' and code not like '%[4]/%' and code not like '%[6]/%' and code not like '%[7]/%' and code not like '%[8]/%' and code not like '%[9]/%' and code not like '%[10]/%' and code not like '%[11]/%' and code not like '%[12]/%' and code not like '%[13]/%' and code not like '%[14]/%' and code not like '%[15]/%' and code not like '%[16]/%' and code not like '%[17]/%' and code not like '%[18]/%' and code not like '%[19]/%' and code not like '%[20]/%' and code not like '%[21]/%' );
22:18:26 | (5ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
22:18:26 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
22:18:26 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
22:18:26 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
22:18:26 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
22:18:27 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
22:18:27 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:18:27 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
22:18:32 | (7ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'o%' limit 3;
22:18:32 | (0ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'oe%' limit 3;
22:18:45 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'o%' limit 3;
22:18:45 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
22:18:47 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
22:18:47 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
22:18:47 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
22:18:47 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
22:18:47 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
22:18:47 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:18:47 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
22:18:53 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'c%' limit 3;
22:18:53 | (2ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'ch%' limit 3;
22:18:55 | (2ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
22:18:59 | (2ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 's%' limit 3;
22:18:59 | (0ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'su%' limit 3;
22:19:0 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
22:19:3 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'l%' limit 3;
22:19:3 | (0ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'le%' limit 3;
22:19:4 | (2ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
22:19:7 | (2ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'o%' limit 3;
22:19:7 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'oe%' limit 3;
22:19:8 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
22:19:11 | (2ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'f%' limit 3;
22:19:11 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'fa%' limit 3;
22:19:12 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
22:19:14 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'b%' limit 3;
22:19:14 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like 'be%' limit 3;
22:19:15 | (1ms) 10.0.0.42 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
22:19:19 | (1ms) 10.0.0.42 - [rechercheRecette] - select count(nom) from ingredients;
