1:5:40 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:5:40 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:5:40 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:5:40 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:5:40 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:6:0 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:6:0 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:6:0 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:6:0 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:6:1 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:6:1 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:6:1 | (3ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:6:1 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:6:1 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:6:1 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:7:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:7:5 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:7:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:7:5 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:7:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:7:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:7:5 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:7:5 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:7:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:7:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:7:14 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:7:14 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:7:14 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:7:14 | (4ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:7:14 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:7:14 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
1:7:14 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:7:14 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:7:14 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:7:14 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:8:15 | (3ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:8:16 | (4ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:8:16 | (7ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:8:16 | (11ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:8:16 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:8:16 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:8:16 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:8:16 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:8:16 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:8:16 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:8:16 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:9:3 | (3ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:9:3 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:9:3 | (4ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:9:3 | (7ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:9:3 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:9:3 | (0ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:9:3 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:9:3 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:9:3 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:9:3 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
1:9:3 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:9:38 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:9:38 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:9:38 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:9:38 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:9:38 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:9:38 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:9:38 | (4ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:9:38 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:9:38 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:9:38 | (0ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:9:38 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:9:49 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
1:9:49 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
1:9:49 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
1:9:49 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
1:9:49 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
1:9:49 | (2ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:9:49 | (3ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
1:9:49 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
1:9:49 | (0ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:9:49 | (1ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
1:9:49 | (0ms) 192.168.0.36 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
1:10:35 | (1ms) 192.168.0.31 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
