13:10:54 | (11ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
13:10:54 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.css
13:10:54 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.css
13:10:54 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
13:13:41 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
13:13:41 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.css
13:13:41 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.css
13:13:42 | (5ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.css
13:13:42 | (3ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
13:13:42 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
13:13:42 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
13:13:42 | (3ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
13:13:42 | (4ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
13:13:42 | (5ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
13:14:29 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/addIngredients.html
13:14:29 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/addIngredients.js
13:14:29 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/addIngredients.js
13:14:29 | (2ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/addIngredients.js
