16:17:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
16:17:5 | (0ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchIngredient.js
16:17:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
16:17:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
16:17:5 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
16:17:6 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
16:17:6 | (1ms) 127.0.0.1 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
16:23:10 | (8ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
16:23:10 | (1ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
16:23:10 | (2ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/js/searchRecipes.js
16:23:10 | (2ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
16:23:10 | (1ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/searchRecipes.html
16:23:10 | (1ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchIngredient.css
16:23:10 | (1ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/css/searchRecipe.css
16:23:10 | (1ms) 10.0.0.144 - [getFile] - /home/baptiste/Documents/cuisine/html/favicon.ico
16:23:21 | (14ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'O%' limit 3;
16:23:24 | (2ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like '%' limit 3;
16:23:26 | (0ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'S%' limit 3;
16:23:26 | (1ms) 10.0.0.144 - [rechercheIngredient] - select * from ingredients where nom like 'Su%' limit 3;
