0:0:49 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
0:0:49 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.scss
0:0:50 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
0:0:50 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
0:1:4 | (5ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:1:4 | (11ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:1:4 | (14ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:1:4 | (16ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:1:4 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
0:1:5 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.scss
0:1:5 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
0:1:5 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
0:1:58 | (4ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/search.png
0:1:58 | (12ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/search.png
0:1:58 | (14ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/search.png
0:1:58 | (24ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/search.png
0:1:59 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
0:1:59 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
0:1:59 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
0:1:59 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
0:3:30 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/search.png
0:3:30 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/home.png
0:3:30 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/recipeBook.png
0:3:30 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:3:30 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
0:3:30 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
0:3:30 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/js/topBar.js
0:3:31 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
0:3:31 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/topBar.css
0:4:15 | (4ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:4:15 | (8ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:4:15 | (16ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:4:15 | (18ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/images/idea.png
0:4:15 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/index.html
0:4:15 | (1ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/css/index.scss
0:4:16 | (0ms) 10.0.0.42 - [getFile] - /home/baptiste/Documents/cuisine/html/htmlObject/topBar.html
