22:40:39 | (11ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/html/index.html
22:40:39 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/topBar.js
22:40:39 | (3ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/topBar.js
22:40:39 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/index.css
22:40:39 | (3ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/htmlObject/topBar.html
22:40:39 | (12ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/images/idea.png
22:40:39 | (41ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/images/idea.png
22:40:39 | (44ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/images/idea.png
22:40:39 | (46ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/images/idea.png
22:40:39 | (11ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/topBar.css
22:40:39 | (0ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/favicon.ico
22:40:44 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/html/addIngredients.html
22:40:44 | (0ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/jquery-3.6.0.js
22:40:44 | (0ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/topBar.js
22:40:44 | (2ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/vue.js
22:40:44 | (3ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/vue.js
22:40:44 | (2ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/searchIngredient.js
22:40:44 | (4ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/searchIngredient.js
22:40:44 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/htmlObject/topBar.html
22:40:44 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/htmlObject/searchIngredients.html
22:40:44 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:40:45 | (5ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:40:45 | (6ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:40:45 | (6ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:40:45 | (7ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:40:45 | (13ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/searchIngredient.css
22:42:8 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/html/index.html
22:42:8 | (3ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/jquery-3.6.0.js
22:42:8 | (2ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/topBar.js
22:42:8 | (2ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/index.css
22:42:8 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/htmlObject/topBar.html
22:42:8 | (3ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/images/recipeBook.png
22:42:8 | (4ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/images/recipeBook.png
22:42:8 | (6ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/images/recipeBook.png
22:42:8 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/topBar.css
22:42:8 | (2ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/topBar.css
22:42:9 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/html/addRecipe.html
22:42:9 | (0ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/topBar.js
22:42:9 | (1ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/js/topBar.js
22:42:9 | (0ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/vue.js
22:42:9 | (0ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/vue.js
22:42:9 | (3ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/vue.js
22:42:9 | (12ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/css/addRecipe.css
22:42:9 | (9ms) 127.0.0.1 - [getFile] - /Users/baptiste/Documents/cuisine/html/htmlObject/topBar.html
